ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus
ASV_1,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma
ASV_10,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV_100,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
ASV_1000,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,NA,NA
ASV_10014,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Polyangium
ASV_1002,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Cerasibacillus
ASV_10024,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter
ASV_10034,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
ASV_1004,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_1
ASV_10044,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,NA
ASV_10049,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
ASV_1005,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas
ASV_10050,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
ASV_10055,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriales_Incertae_Sedis,NA
ASV_10059,Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,NA
ASV_10068,Eukaryota,NA,NA,NA,NA,NA
ASV_10074,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Peptococcus
ASV_10077,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,endosymbionts8
ASV_10083,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XI,Peptoniphilus
ASV_10088,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia
ASV_10090,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
ASV_10091,Bacteria,Proteobacteria,Deltaproteobacteria,NA,NA,NA
ASV_1010,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
ASV_10103,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter
ASV_10105,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystaceae,Nannocystis
ASV_10111,Bacteria,Acidobacteria,Blastocatellia_(Subgroup_4),Blastocatellales,Blastocatellaceae,Aridibacter
ASV_10112,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae_(Subgroup_1),Bryocella
