dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
BT01_F01_S3_W17_1_	35798	31792	31516	31556	30902	30067	84
BT01_F01_S4_W17_1_	8809	8268	8127	8203	7960	7575	86
BT01_F02_S3_W17_1_	33052	31148	30918	30685	29304	27321	82.7
BT01_F02_S4_W17_1_	27722	24432	24220	24168	23734	23237	83.8
BT01_F03_S3_W17_1_	101344	90391	90012	89976	88188	82577	81.5
BT01_F03_S4_W17_1_	7955	6525	6486	6479	6422	6402	80.5
BT01_F04_S3_W17_1_	7918	6981	6964	6932	6886	6758	85.3
BT01_F04_S4_W17_1_	6403	5288	5225	5205	5131	5124	80
BT01_F05_S3_W17_1_	312309	263029	262280	262373	260182	253731	81.2
BT01_F05_S4_W17_1_	124917	112988	112189	111360	106965	99100	79.3
BT01_F06_S3_W17_1_	3395	2918	2811	2865	2689	2399	70.7
BT01_F06_S4_W17_1_	26559	23750	23548	23405	22919	21405	80.6
BT01_F07_S4_W17_1_	20151	18654	18558	18459	17606	17148	85.1
BT01_F08_S3_W17_1_	16192	14723	14652	14601	14425	14314	88.4
BT01_F08_S4_W17_1_	146982	123491	123237	123182	122316	118794	80.8
BT01_F09_S3_W17_1_	26617	24129	23937	23991	23538	23282	87.5
BT01_F09_S4_W17_1_	839	769	745	739	722	715	85.2
BT01_F10_S3_W17_1_	68729	61709	61466	61370	60612	57792	84.1
BT01_F10_S4_W17_1_	3386	3033	3012	2984	2856	2839	83.8
BT01_F11_S3_W17_1_	8208	7183	7128	7089	6926	6540	79.7
BT01_F11_S4_W17_1_	15611	13823	13778	13720	13576	13005	83.3
BT01_F12_S3_W17_1_	3234	2930	2851	2848	2696	2403	74.3
BT01_F12_S4_W17_1_	10151	9329	9271	9234	9109	8931	88
BT01_F13_S3_W17_1_	10249	9354	9297	9270	9149	8963	87.5
BT01_F13_S4_W17_1_	7012	6447	6354	6362	6200	5300	75.6
BT01_F14_S3_W17_1_	26667	23281	23145	23073	22785	22257	83.5
BT01_F14_S4_W17_1_	75813	69832	69223	69120	67142	65002	85.7
BT01_F15_S3_W17_1_	16226	14351	14283	14207	14099	13870	85.5
BT01_F15_S4_W17_1_	45778	39900	39556	39518	38617	37269	81.4
BT01_F16_S3_W17_1_	29115	25820	25717	25624	25311	24796	85.2
BT01_F16_S4_W17_1_	42239	37580	37480	37303	36785	34308	81.2
BT01_F17_S3_W17_1_	5954	5026	4893	4947	4689	3934	66.1
BT01_F17_S4_W17_1_	5876	5054	4942	4898	4599	4468	76
BT01_F18_S3_W17_1_	17737	16220	16037	16009	15363	14957	84.3
BT01_F18_S4_W17_1_	15814	14430	14265	14291	13920	13590	85.9
BT01_F19_S3_W17_1_	28342	24301	24178	24185	23095	22592	79.7
BT01_F19_S4_W17_1_	23784	20707	20514	20386	19468	18479	77.7
BT01_F20_S3_W17_1_	148808	140780	140235	139965	138154	135326	90.9
BT01_F20_S4_W17_1_	35320	31918	31605	31382	29997	28001	79.3
BT01_F21_S3_W17_1_	30508	26808	26622	26667	26199	26097	85.5
BT01_F21_S4_W17_1_	32452	29246	29152	29113	28928	28753	88.6
BT01_F22_S3_W17_1_	89341	82150	81426	81023	78068	73813	82.6
BT01_F22_S4_W17_1_	25879	21649	21512	21519	19872	18736	72.4
BT01_F23_S3_W17_1_	75019	68679	68150	68288	66539	62402	83.2
BT01_F23_S4_W17_1_	58043	53096	52486	51925	49288	47642	82.1
BT01_F24_S3_W17_1_	11954	11030	10859	10886	10599	10356	86.6
BT01_F24_S4_W17_1_	85725	75826	75401	75503	74412	72966	85.1
BT01_F25_S3_W17_1_	20364	17564	17337	17357	16929	16420	80.6
BT01_F25_S4_W17_1_	22495	20314	20231	20177	19857	19287	85.7
BT01_F26_S3_W17_1_	33075	28273	28025	27862	26768	24532	74.2
BT01_F26_S4_W17_1_	16367	14753	14664	14623	14411	13773	84.2
BT01_F27_S3_W17_1_	16652	14829	14641	14689	14224	13195	79.2
BT01_F27_S4_W17_1_	32347	30171	29800	29759	28747	28022	86.6
BT01_F28_S3_W17_1_	86228	70960	70699	70659	69675	68709	79.7
BT01_F28_S4_W17_1_	10842	9128	9023	9072	7823	7593	70
BT01_F29_S3_W17_1_	128467	115044	113992	114357	111445	107655	83.8
BT01_F29_S4_W17_1_	11091	9882	9758	9757	9211	8775	79.1
BT01_F30_S3_W17_1_	94390	84278	83625	83456	75988	74782	79.2
BT01_F30_S4_W17_1_	127173	112225	111746	111628	110193	97660	76.8
BT01_F31_S3_W17_1_	56878	53526	53115	53014	51353	49012	86.2
BT01_F31_S4_W17_1_	112330	102695	102026	101899	99676	96291	85.7
