"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_19","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Defluviimonas"
"ASV_28","Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella"
"ASV_53","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"ASV_49","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus"
"ASV_2","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","endosymbionts8"
"ASV_8","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas"
"ASV_70","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Rhizorhapis"
"ASV_1","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma"
"ASV_37","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"ASV_12","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Ralstonia"
"ASV_110","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ASV_68","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium_1"
"ASV_27","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"ASV_55","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella"
"ASV_85","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter"
"ASV_61","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Sphaerotilus"
"ASV_88","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Photobacterium"
"ASV_34","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Lawsonella"
"ASV_82","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"ASV_11","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella"
"ASV_30","Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"ASV_47","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"ASV_13","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus"
"ASV_43","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter"
"ASV_41","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"ASV_58","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcus"
"ASV_7","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia"
"ASV_128","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ASV_48","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Aquabacterium"
"ASV_29","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter"
"ASV_4","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"ASV_18","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter"
"ASV_22","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter"
"ASV_17","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"ASV_3","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia"
"ASV_24","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Phreatobacter"
"ASV_130","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Rheinheimera"
"ASV_25","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"ASV_21","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium"
