"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV_1","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma"
"ASV_1002","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Cerasibacillus"
"ASV_10111","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","Blastocatellales","Blastocatellaceae","Aridibacter"
"ASV_10112","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)","Bryocella"
"ASV_10173","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"ASV_1020","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ethanoligenens"
"ASV_10201","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","SN8"
"ASV_1021","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ASV_103","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Tepidimonas"
"ASV_10358","Bacteria","Acidobacteria","Subgroup_6","Unknown_Order","Unknown_Family","Vicinamibacter"
"ASV_104","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus"
"ASV_1042","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Chelatococcus"
"ASV_10565","Bacteria","Actinobacteria","Actinobacteria","Glycomycetales","Glycomycetaceae","Glycomyces"
"ASV_10635","Bacteria","Proteobacteria","Alphaproteobacteria","Sneathiellales","Sneathiellaceae","Ferrovibrio"
"ASV_10689","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Taeseokella"
"ASV_107","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"ASV_1077","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amaricoccus"
"ASV_1081","Bacteria","Cyanobacteria","Oxyphotobacteria","Leptolyngbyales","Leptolyngbyaceae","LB3-76"
"ASV_10841","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Anthococcus"
"ASV_10885","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae_(Subgroup_1)","Acidipila"
"ASV_1097","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Nordella"
"ASV_11","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia/Shigella"
"ASV_110","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ASV_1100","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Ulvibacter"
"ASV_11003","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus"
"ASV_11005","Bacteria","Aquificae","Aquificae","Aquificales","Aquificaceae","Hydrogenobacter"
"ASV_1102","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Macellibacteroides"
